Model,Accuracy,Precision,Recall,F1-score,Train Time (s),Predict Time (s)
Decision Tree,77.27,67.92,66.67,67.29,0.0048,0.00038
KNN,73.38,63.83,55.56,59.41,0.0105,0.00384
Logistic Regression,72.08,62.22,51.85,56.57,0.0257,0.00042
SVM,72.08,62.22,51.85,56.57,0.0581,0.0031
Random Forest,71.43,60.0,55.56,57.69,0.4737,0.01658
